,Name,Url,Ingredients,Calories,Carbs Grams,Protein Grams,Fat Grams
20,Loaded Veggie Pasta Salad with Sweet Basil Vinaigrette,https://www.eatyourselfskinny.com/loaded-veggie-pasta-salad-with-sweet-basil-vinaigrette/,"['8 oz. whole wheat spaghetti', '2 medium zucchini spiralized', '1 Tbsp olive oil', '3 cloves garlic minced', '2 cups fresh or frozen peas thawed', '1 bunch thin asparagus trimmed and cut into 1½-inch pieces', '¼ cup freshly grated Parmesan cheese', '4 slices bacon cooked and crumbled', '½ cup fresh basil leaves', '2 Tbsp white wine vinegar', '2 tsp. Dijon mustard', '2 tsp. honey', '1 tsp. minced shallots', '½ tsp. salt', '¼ cup olive oil']",229.0,23.2,9.2,12.1
21,Sheet Pan Ginger Soy Glazed Salmon,https://www.eatyourselfskinny.com/sheet-pan-ginger-soy-glazed-salmon/,"['4 (6 oz) Alaska salmon fillets fresh or frozen thawed', '1 lb. fresh green beans', '2 cups carrots cut into 2-inch pieces', '1 Tbsp olive oil', 'Salt and pepper to taste', '¼ cup reduced-sodium soy sauce', '2 Tbsp sweet chili sauce', '1 Tbsp honey', '1 Tbsp grated ginger', '2 cloves garlic minced', '1 Tbsp chopped green onions']",391.0,24.9,47.2,11.3
22,One Skillet Sun Dried Tomato Chicken & Gnocchi,https://www.eatyourselfskinny.com/one-skillet-sun-dried-tomato-chicken-gnocchi/,"['1 Tbsp olive oil', '½ cup sun dried tomatoes', '1 Tbsp garlic', '12 oz. Alessi gluten-free gnocchi', '1 cup chicken broth', '½ cup half and half (or heavy cream)', 'Salt and pepper to taste', '2 cups shredded rotisserie chicken (or any other cooked chicken)', '2 cups baby spinach leaves', '½ cup freshly grated Asiago cheese']",393.0,54.0,12.6,10.5
23,7 Layer Spicy Taco Dip,https://www.eatyourselfskinny.com/7-layer-taco-dip/,"['1 (10 oz) container Sabra Supremely Spicy Hummus', '2 cups guacamole', '2 cups favorite chunky salsa', '1½ cups plain Greek yogurt', '2 Tbsp taco seasoning', '1½ cups shredded Mexican cheese', '1 cup diced roma tomatoes', '½ cup sliced olives', '¼ cup green onions chopped']",192.0,11.8,7.7,13.0
24,5 Minute Pea & Arugula Pesto Pasta Salad,https://www.eatyourselfskinny.com/5-minute-pea-arugula-pesto-pasta-salad/,"['1 (8.5 oz) package Barilla Ready Pasta (I used rotini)', '2 cups loosely packed arugula leaves', '1 cup fresh or frozen peas thawed', '1 cup packed arugula leaves', '½ cup fresh or frozen peas thawed', '1 Tbsp mint leaves', '2 cloves garlic', '2 Tbsp pine nuts', '2 Tbsp freshly grated Parmesan cheese', '1½ Tbsp lemon juice', '½ tsp. sea salt', '¼ tsp. black pepper', '3 Tbsp olive oil']",286.0,31.3,8.6,15.1
25,One Skillet Cashew Chicken Stir Fry,https://www.eatyourselfskinny.com/one-skillet-cashew-chicken-stir-fry/,"['1 Tbsp olive oil', '1 lb boneless skinless chicken breasts cut into 1-inch pieces', 'Salt and pepper to taste', '3 cloves garlic minced', '2 cups broccoli florets', '1 red bell pepper julienned', '1 cup sugar snap peas', '½ cup carrots julienned', '⅓ cup unsalted cashews', '4 green onions chopped', '4 Tbsp tamari (or soy sauce)', '3 Tbsp all-natural peanut butter', '2 Tbsp honey', '1 tsp. sesame oil', '1 Tbsp grated ginger', '2 or 3 Tbsp water']",268.0,17.3,21.3,12.4
26,Honey Sriracha Glazed Meatballs,https://www.eatyourselfskinny.com/honey-sriracha-glazed-meatballs/,"['2 lb. lean ground turkey', '1 cup whole wheat panko breadcrumbs', '2 eggs', '¼ cup green onions chopped', '½ tsp. garlic powder', '½ tsp. salt', '½ tsp. black pepper', '¼ cup Sriracha', '3 Tbsp reduced-sodium soy sauce', '3 Tbsp rice vinegar', '3 Tbsp honey', '1 Tbsp grated fresh ginger', '3 cloves garlic minced', '½ tsp. toasted sesame oil']",295.0,18.6,26.9,10.8
27,Caribbean Jerk Shrimp with Cauliflower Rice,https://www.eatyourselfskinny.com/caribbean-jerk-shrimp-with-cauliflower-rice/,"['10 oz. large shrimp peeled and deveined', '2 Tbsp olive oil', '2 Tbsp red wine vinegar', '2 Tbsp fresh squeezed orange juice', '1 Tbsp brown sugar packed', '1 Tbsp reduced-sodium soy sauce (green top)', '2 Tbsp green onions chopped', '1 Tbsp jalapeño seeded and finely chopped', 'Lime wedges if desired', '½ tsp. garlic powder', '¼ tsp. onion powder', '¼ tsp. dried thyme', '½ tsp. paprika', '⅛ tsp. allspice', '⅛ tsp. nutmeg', '¼ tsp. cayenne pepper', '⅛ tsp. sea salt', '1 Tbsp olive oil', '1 green bell pepper chopped', '1 jalapeño seeded and finely chopped', '1 cup fresh pineapple chopped', '4 cups cauliflower rice', '1 tsp. garlic powder', '¼ tsp. sea salt', '¼ tsp. pepper', '⅛ tsp. cinnamon', '¼ cup fresh squeezed orange juice', '1 (15 oz) can no-salt-added red kidney beans', '2 Tbsp cilantro chopped']",324.0,35.9,23.9,12.6
28,Enchilada Stuffed Zucchini Boats,https://www.eatyourselfskinny.com/enchilada-stuffed-zucchini-boats/,"['1 Tbsp olive oil', '1 onion chopped', '1 red bell pepper chopped', '1 jalapeño seeded and chopped', '2 cloves garlic minced', '1 lb. tomatoes chopped', '½ tsp. sea salt', '1 tsp. cumin', '1 tsp. chili powder', '4 large zucchini', '3 ounces shredded cheese']",162.0,18.5,8.1,7.2
29,Spicy Tuna Avocado Wrap,https://www.eatyourselfskinny.com/spicy-tuna-avocado-wrap/,"['2 (5 oz) cans Bumble Bee® Solid White Albacore Tuna drained', '1 avocado', '2 Tbsp Sriracha', '1 Tbsp Dijon mustard', '2 to 3 Tbsp celery chopped', '2 Tbsp red onion chopped', '2 green onions chopped', '1 Tbsp fresh cilantro chopped', 'Salt and pepper to taste', '2 heaping cups leafy green lettuce', '1 cup matchstick carrots', '4 (10 inch) whole wheat tortillas']",295.0,28.2,18.2,9.6
